FULLDATE	MONTH	DATE	DAY	DISTANCE	DURATION
4/23/2015	4	23	THURSDAY	7.01	1:14:01
4/24/2015	4	24	FRIDAY	0.00	0:00:00
4/25/2015	4	25	SATURDAY	8.00	1:23:56
4/26/2015	4	26	SUNDAY	0.00	0:00:00
4/27/2015	4	27	MONDAY	8.02	1:25:16
4/28/2015	4	28	TUESDAY	3.30	0:34:12
4/29/2015	4	29	WEDNESDAY	0.00	0:00:00
4/30/2015	4	30	THURSDAY	8.01	1:32:06
5/1/2015	5	1	FRIDAY	0.00	0:00:00
5/2/2015	5	2	SATURDAY	8.01	1:28:55
5/3/2015	5	3	SUNDAY	2.66	0:25:44
5/4/2015	5	4	MONDAY	8.00	1:28:44
5/5/2015	5	5	TUESDAY	0.00	0:00:00
5/6/2015	5	6	WEDNESDAY	8.01	1:23:10
5/7/2015	5	7	THURSDAY	2.71	0:28:46
5/8/2015	5	8	FRIDAY	0.00	0:00:00
5/9/2015	5	9	SATURDAY	8.54	1:34:00
5/10/2015	5	10	SUNDAY	0.00	0:00:00
5/11/2015	5	11	MONDAY	8.01	1:30:00
5/12/2015	5	12	TUESDAY	2.68	0:28:09
5/13/2015	5	13	WEDNESDAY	8.00	1:23:54
5/14/2015	5	14	THURSDAY	3.39	0:33:31
5/15/2015	5	15	FRIDAY	0.00	0:00:00
5/16/2015	5	16	SATURDAY	8.00	1:24:17
5/17/2015	5	17	SUNDAY	1.91	0:20:00
5/18/2015	5	18	MONDAY	3.00	0:31:31
5/19/2015	5	19	TUESDAY	0.00	0:00:00
5/20/2015	5	20	WEDNESDAY	8.50	1:29:11
5/21/2015	5	21	THURSDAY	2.13	0:23:57
5/22/2015	5	22	FRIDAY	8.50	1:25:14
5/23/2015	5	23	SATURDAY	0.00	0:00:00
5/24/2015	5	24	SUNDAY	8.00	1:25:18
5/25/2015	5	25	MONDAY	0.00	0:00:00
5/26/2015	5	26	TUESDAY	2.29	0:23:00
5/27/2015	5	27	WEDNESDAY	8.00	1:27:26
5/28/2015	5	28	THURSDAY	0.00	0:00:00
5/29/2015	5	29	FRIDAY	8.00	1:26:33
5/30/2015	5	30	SATURDAY	2.76	0:28:00
5/31/2015	5	31	SUNDAY	0.00	0:00:00
6/1/2015	6	1	MONDAY	4.04	0:40:37
6/2/2015	6	2	TUESDAY	8.25	1:28:23
6/3/2015	6	3	WEDNESDAY	8.14	1:31:26
6/4/2015	6	4	THURSDAY	0.00	0:00:00
6/5/2015	6	5	FRIDAY	1.64	0:17:08
6/6/2015	6	6	SATURDAY	8.27	1:26:40
6/7/2015	6	7	SUNDAY	0.00	0:00:00
6/8/2015	6	8	MONDAY	8.00	1:27:04
6/9/2015	6	9	TUESDAY	0.00	0:00:00
6/10/2015	6	10	WEDNESDAY	6.34	1:13:03
6/11/2015	6	11	THURSDAY	3.00	0:31:56
6/12/2015	6	12	FRIDAY	8.16	1:28:15
6/13/2015	6	13	SATURDAY	3.72	0:38:21
6/14/2015	6	14	SUNDAY	0.00	0:00:00
6/15/2015	6	15	MONDAY	4.14	0:43:43
6/16/2015	6	16	TUESDAY	8.17	1:27:41
6/17/2015	6	17	WEDNESDAY	3.00	0:29:34
6/18/2015	6	18	THURSDAY	0.00	0:00:00
6/19/2015	6	19	FRIDAY	8.00	1:22:19
6/20/2015	6	20	SATURDAY	4.16	0:42:09
6/21/2015	6	21	SUNDAY	0.00	0:00:00
6/22/2015	6	22	MONDAY	7.35	1:22:43
6/23/2015	6	23	TUESDAY	3.00	0:29:39
6/24/2015	6	24	WEDNESDAY	8.15	1:27:08
6/25/2015	6	25	THURSDAY	0.00	0:00:00
6/26/2015	6	26	FRIDAY	4.50	0:43:37
6/27/2015	6	27	SATURDAY	4.06	0:40:00
6/28/2015	6	28	SUNDAY	4.51	0:44:21
6/29/2015	6	29	MONDAY	3.00	0:30:07
6/30/2015	6	30	TUESDAY	2.56	0:25:30
7/1/2015	7	1	WEDNESDAY	0.00	0:00:00
7/2/2015	7	2	THURSDAY	6.00	1:01:23
7/3/2015	7	3	FRIDAY	6.16	1:03:59
7/4/2015	7	4	SATURDAY	3.16	0:32:21
7/5/2015	7	5	SUNDAY	3.42	0:34:41
7/6/2015	7	6	MONDAY	6.61	1:11:42
7/7/2015	7	7	TUESDAY	0.00	0:00:00
7/8/2015	7	8	WEDNESDAY	4.13	0:42:51
7/9/2015	7	9	THURSDAY	6.41	1:08:11
7/10/2015	7	10	FRIDAY	3.01	0:30:07
7/11/2015	7	11	SATURDAY	7.00	1:14:07
7/12/2015	7	12	SUNDAY	2.40	0:25:00
7/13/2015	7	13	MONDAY	0.00	0:00:00
7/14/2015	7	14	TUESDAY	6.23	1:05:00
7/15/2015	7	15	WEDNESDAY	3.00	0:31:30
7/16/2015	7	16	THURSDAY	4.22	0:41:57
7/17/2015	7	17	FRIDAY	4.22	0:47:50
7/18/2015	7	18	SATURDAY	3.08	0:33:42
7/19/2015	7	19	SUNDAY	4.23	0:42:49
7/20/2015	7	20	MONDAY	6.42	1:07:34
7/21/2015	7	21	TUESDAY	2.10	0:22:42
7/22/2015	7	22	WEDNESDAY	0.00	0:00:00
7/23/2015	7	23	THURSDAY	6.61	1:15:02
7/24/2015	7	24	FRIDAY	0.00	0:00:00
7/25/2015	7	25	SATURDAY	6.46	1:09:43
7/26/2015	7	26	SUNDAY	3.00	0:32:18
